"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-14","84","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-15","85","70",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-16","70","63","65"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-17","78","65",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-18","82","67",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-19","86","69","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-20","83","68","68"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-21","70","51",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-22","55","50","55"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-23","64","55",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-24","81","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-25","91","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-26","86","58",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-27","90","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-28","89","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-29","81","46",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-30","80","46",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-03-31","74","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-01","77","51","59"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-02","79","49",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-03","69","63",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-04","74","50",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-05","78","50",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-06","68","55",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-07","75","62",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-08","84","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-09","91","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-10","90","65",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-11","74","65",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-12","79","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-13","86","53",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-14","68","46",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-15","66","47",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-16","69","42",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-17","76","43",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-18","74","55",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-19","63","53",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-20","92","48",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-21","92","46",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-22","87","62",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-23","82","65",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-24","90","54",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-25","97","52",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-26","83","53",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-27","86","49",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-28","88","60",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-29","89","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-04-30","85","50",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-01","89","47","54"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-02","90","54",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-03","93","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-04","94","70",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-05","95","71",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-06","90","71",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-07","85","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-08","89","55",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-09","89","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-10","76","53",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-11","82","51",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-12","85","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-13","89","65",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-14","90","66",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-15","93","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-16","90","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-17","88","61",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-18","91","62",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-19","94","62",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-20","95","66",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-21","95","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-22","92","71",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-23","94","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-24","94","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-25","93","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-26","78","64",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-27","84","62",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-28","91","61",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-29","85","63",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-30","87","61",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-05-31","86","60",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-01","82","67","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-02","82","67",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-06-03","86","67",
